Police Region,Local Government Area,Display year ending,Year,Incidents Recorded
1 North West Metro,Total,Year ending March,2024,"148,126"
1 North West Metro, Yarra,Year ending March,2024,"10,482"
1 North West Metro, Wyndham,Year ending March,2024,"14,447"
1 North West Metro, Whittlesea,Year ending March,2024,"10,112"
1 North West Metro, Nillumbik,Year ending March,2024,"1,269"
1 North West Metro, Moonee Valley,Year ending March,2024,"6,551"
1 North West Metro, Merri-bek,Year ending March,2024,"10,289"
1 North West Metro, Melton,Year ending March,2024,"9,858"
1 North West Metro, Melbourne,Year ending March,2024,"27,835"
1 North West Metro, Maribyrnong,Year ending March,2024,"8,107"
1 North West Metro, Hume,Year ending March,2024,"14,031"
1 North West Metro, Hobsons Bay,Year ending March,2024,"4,660"
1 North West Metro, Darebin,Year ending March,2024,"10,916"
1 North West Metro, Brimbank,Year ending March,2024,"13,401"
1 North West Metro, Banyule,Year ending March,2024,"6,168"
1 North West Metro,Total,Year ending March,2023,"134,605"
1 North West Metro, Yarra,Year ending March,2023,"9,533"
1 North West Metro, Wyndham,Year ending March,2023,"13,792"
1 North West Metro, Whittlesea,Year ending March,2023,"9,164"
1 North West Metro, Nillumbik,Year ending March,2023,"1,165"
1 North West Metro, Moonee Valley,Year ending March,2023,"5,825"
1 North West Metro, Merri-bek,Year ending March,2023,"9,423"
1 North West Metro, Melton,Year ending March,2023,"8,663"
1 North West Metro, Melbourne,Year ending March,2023,"25,019"
1 North West Metro, Maribyrnong,Year ending March,2023,"6,821"
1 North West Metro, Hume,Year ending March,2023,"12,962"
1 North West Metro, Hobsons Bay,Year ending March,2023,"4,619"
1 North West Metro, Darebin,Year ending March,2023,"9,669"
1 North West Metro, Brimbank,Year ending March,2023,"12,426"
1 North West Metro, Banyule,Year ending March,2023,"5,524"
1 North West Metro,Total,Year ending March,2022,"130,410"
1 North West Metro, Yarra,Year ending March,2022,"8,770"
1 North West Metro, Wyndham,Year ending March,2022,"12,036"
1 North West Metro, Whittlesea,Year ending March,2022,"8,918"
1 North West Metro, Nillumbik,Year ending March,2022,"1,312"
1 North West Metro, Moonee Valley,Year ending March,2022,"6,004"
1 North West Metro, Merri-bek,Year ending March,2022,"9,144"
1 North West Metro, Melton,Year ending March,2022,"8,768"
1 North West Metro, Melbourne,Year ending March,2022,"24,964"
1 North West Metro, Maribyrnong,Year ending March,2022,"7,012"
1 North West Metro, Hume,Year ending March,2022,"12,137"
1 North West Metro, Hobsons Bay,Year ending March,2022,"4,586"
1 North West Metro, Darebin,Year ending March,2022,"9,249"
1 North West Metro, Brimbank,Year ending March,2022,"12,282"
1 North West Metro, Banyule,Year ending March,2022,"5,228"
1 North West Metro,Total,Year ending March,2021,"147,804"
1 North West Metro, Yarra,Year ending March,2021,"10,825"
1 North West Metro, Wyndham,Year ending March,2021,"12,692"
1 North West Metro, Whittlesea,Year ending March,2021,"11,450"
1 North West Metro, Nillumbik,Year ending March,2021,"1,521"
1 North West Metro, Moonee Valley,Year ending March,2021,"6,108"
1 North West Metro, Merri-bek,Year ending March,2021,"10,139"
1 North West Metro, Melton,Year ending March,2021,"9,874"
1 North West Metro, Melbourne,Year ending March,2021,"25,947"
1 North West Metro, Maribyrnong,Year ending March,2021,"7,048"
1 North West Metro, Hume,Year ending March,2021,"15,474"
1 North West Metro, Hobsons Bay,Year ending March,2021,"4,457"
1 North West Metro, Darebin,Year ending March,2021,"11,474"
1 North West Metro, Brimbank,Year ending March,2021,"14,510"
1 North West Metro, Banyule,Year ending March,2021,"6,285"
1 North West Metro,Total,Year ending March,2020,"156,006"
1 North West Metro, Yarra,Year ending March,2020,"11,427"
1 North West Metro, Wyndham,Year ending March,2020,"13,871"
1 North West Metro, Whittlesea,Year ending March,2020,"12,243"
1 North West Metro, Nillumbik,Year ending March,2020,"1,691"
1 North West Metro, Moonee Valley,Year ending March,2020,"6,718"
1 North West Metro, Merri-bek,Year ending March,2020,"11,099"
1 North West Metro, Melton,Year ending March,2020,"9,320"
1 North West Metro, Melbourne,Year ending March,2020,"26,899"
1 North West Metro, Maribyrnong,Year ending March,2020,"7,304"
1 North West Metro, Hume,Year ending March,2020,"15,892"
1 North West Metro, Hobsons Bay,Year ending March,2020,"4,906"
1 North West Metro, Darebin,Year ending March,2020,"11,894"
1 North West Metro, Brimbank,Year ending March,2020,"15,480"
1 North West Metro, Banyule,Year ending March,2020,"7,262"
1 North West Metro,Total,Year ending March,2019,"148,997"
1 North West Metro, Yarra,Year ending March,2019,"11,181"
1 North West Metro, Wyndham,Year ending March,2019,"11,462"
1 North West Metro, Whittlesea,Year ending March,2019,"11,910"
1 North West Metro, Nillumbik,Year ending March,2019,"1,623"
1 North West Metro, Moonee Valley,Year ending March,2019,"6,485"
1 North West Metro, Merri-bek,Year ending March,2019,"11,406"
1 North West Metro, Melton,Year ending March,2019,"8,329"
1 North West Metro, Melbourne,Year ending March,2019,"26,584"
1 North West Metro, Maribyrnong,Year ending March,2019,"6,669"
1 North West Metro, Hume,Year ending March,2019,"15,592"
1 North West Metro, Hobsons Bay,Year ending March,2019,"4,846"
1 North West Metro, Darebin,Year ending March,2019,"11,244"
1 North West Metro, Brimbank,Year ending March,2019,"14,660"
1 North West Metro, Banyule,Year ending March,2019,"7,006"
1 North West Metro,Total,Year ending March,2018,"146,021"
1 North West Metro, Yarra,Year ending March,2018,"10,648"
1 North West Metro, Wyndham,Year ending March,2018,"10,861"
1 North West Metro, Whittlesea,Year ending March,2018,"11,339"
1 North West Metro, Nillumbik,Year ending March,2018,"1,795"
1 North West Metro, Moonee Valley,Year ending March,2018,"6,692"
1 North West Metro, Merri-bek,Year ending March,2018,"11,019"
1 North West Metro, Melton,Year ending March,2018,"7,803"
1 North West Metro, Melbourne,Year ending March,2018,"26,848"
1 North West Metro, Maribyrnong,Year ending March,2018,"6,581"
1 North West Metro, Hume,Year ending March,2018,"15,265"
1 North West Metro, Hobsons Bay,Year ending March,2018,"4,830"
1 North West Metro, Darebin,Year ending March,2018,"11,425"
1 North West Metro, Brimbank,Year ending March,2018,"13,549"
1 North West Metro, Banyule,Year ending March,2018,"7,366"
1 North West Metro,Total,Year ending March,2017,"159,718"
1 North West Metro, Yarra,Year ending March,2017,"11,308"
1 North West Metro, Wyndham,Year ending March,2017,"11,966"
1 North West Metro, Whittlesea,Year ending March,2017,"12,867"
1 North West Metro, Nillumbik,Year ending March,2017,"2,171"
1 North West Metro, Moonee Valley,Year ending March,2017,"7,758"
1 North West Metro, Merri-bek,Year ending March,2017,"11,797"
1 North West Metro, Melton,Year ending March,2017,"8,967"
1 North West Metro, Melbourne,Year ending March,2017,"28,116"
1 North West Metro, Maribyrnong,Year ending March,2017,"7,193"
1 North West Metro, Hume,Year ending March,2017,"17,032"
1 North West Metro, Hobsons Bay,Year ending March,2017,"5,227"
1 North West Metro, Darebin,Year ending March,2017,"13,199"
1 North West Metro, Brimbank,Year ending March,2017,"14,670"
1 North West Metro, Banyule,Year ending March,2017,"7,447"
