CI_LGAa_data2
Postcode,Year,Incidents Recorded
3065,2023,"1,588"
3066,2023,"1,588"
3067,2023,"1,588"
3068,2023,"1,588"
3070,2023,"1,588"
3121,2023,"1,588"
3024,2023,"3,488"
3027,2023,"3,488"
3029,2023,"3,488"
3030,2023,"3,488"
3074,2023,"1,018"
3075,2023,"1,018"
3082,2023,"1,018"
3750,2023,"1,018"
3752,2023,"1,018"
3754,2023,"1,018"
3755,2023,"1,018"
3756,2023,"1,018"
3757,2023,"1,018"
3091,2023,97
3093,2023,97
3095,2023,97
3096,2023,97
3097,2023,97
3099,2023,97
3113,2023,97
3759,2023,97
3760,2023,97
3761,2023,97
3763,2023,97
3765,2023,97
3031,2023,647
3032,2023,647
3033,2023,647
3040,2023,647
3041,2023,647
3042,2023,647
3043,2023,647
3044,2023,647
3046,2023,647
3055,2023,"1,177"
3056,2023,"1,177"
3057,2023,"1,177"
3058,2023,"1,177"
3059,2023,"1,177"
3060,2023,"1,177"
3061,2023,"1,177"
3064,2023,"1,177"
3335,2023,"1,443"
3336,2023,"1,443"
3337,2023,"1,443"
3338,2023,"1,443"
3340,2023,"1,443"
3024,2023,"1,443"
3000,2023,"3,574"
3002,2023,"3,574"
3003,2023,"3,574"
3004,2023,"3,574"
3006,2023,"3,574"
3008,2023,"3,574"
3050,2023,"3,574"
3051,2023,"3,574"
3011,2023,"1,364"
3012,2023,"1,364"
3013,2023,"1,364"
3019,2023,"1,364"
3032,2023,"1,364"
3047,2023,"1,440"
3048,2023,"1,440"
3059,2023,"1,440"
3061,2023,"1,440"
3063,2023,"1,440"
3064,2023,"1,440"
3427,2023,"1,440"
3429,2023,"1,440"
3750,2023,"1,440"
3015,2023,770
3016,2023,770
3018,2023,770
3019,2023,770
3025,2023,770
3028,2023,770
3070,2023,"1,611"
3071,2023,"1,611"
3072,2023,"1,611"
3073,2023,"1,611"
3078,2023,"1,611"
3083,2023,"1,611"
3020,2023,"1,553"
3021,2023,"1,553"
3036,2023,"1,553"
3023,2023,"1,553"
3037,2023,"1,553"
3042,2023,"1,553"
3043,2023,"1,553"
3338,2023,"1,553"
3079,2023,552
3081,2023,552
3083,2023,552
3084,2023,552
3085,2023,552
3087,2023,552
3091,2023,552
3093,2023,552
3094,2023,552
3095,2023,552
3065,2023,"1,804"
3066,2023,"1,804"
3067,2023,"1,804"
3068,2023,"1,804"
3070,2023,"1,804"
3121,2023,"1,804"
3024,2021,"3,173"
3027,2021,"3,173"
3029,2021,"3,173"
3030,2021,"3,173"
3074,2021,"1,272"
3075,2021,"1,272"
3082,2021,"1,272"
3750,2021,"1,272"
3752,2021,"1,272"
3754,2021,"1,272"
3755,2021,"1,272"
3756,2021,"1,272"
3757,2021,"1,272"
3091,2021,126
3093,2021,126
3095,2021,126
3096,2021,126
3097,2021,126
3099,2021,126
3113,2021,126
3759,2021,126
3760,2021,126
3761,2021,126
3763,2021,126
3765,2021,126
3031,2021,678
3032,2021,678
3033,2021,678
3040,2021,678
3041,2021,678
3042,2021,678
3043,2021,678
3044,2021,678
3046,2021,678
3055,2021,"1,267"
3056,2021,"1,267"
3057,2021,"1,267"
3058,2021,"1,267"
3059,2021,"1,267"
3060,2021,"1,267"
3061,2021,"1,267"
3064,2021,"1,267"
3335,2021,"1,645"
3336,2021,"1,645"
3337,2021,"1,645"
3338,2021,"1,645"
3340,2021,"1,645"
3024,2021,"1,645"
3000,2021,"3,243"
3002,2021,"3,243"
3003,2021,"3,243"
3004,2021,"3,243"
3006,2021,"3,243"
3008,2021,"3,243"
3050,2021,"3,243"
3051,2021,"3,243"
3011,2021,"1,409"
3012,2021,"1,409"
3013,2021,"1,409"
3019,2021,"1,409"
3032,2021,"1,409"
3047,2021,"1,719"
3048,2021,"1,719"
3059,2021,"1,719"
3061,2021,"1,719"
3063,2021,"1,719"
3064,2021,"1,719"
3427,2021,"1,719"
3429,2021,"1,719"
3750,2021,"1,719"
3015,2021,743
3016,2021,743
3018,2021,743
3019,2021,743
3025,2021,743
3028,2021,743
3070,2021,"1,912"
3071,2021,"1,912"
3072,2021,"1,912"
3073,2021,"1,912"
3078,2021,"1,912"
3083,2021,"1,912"
3020,2021,"1,813"
3021,2021,"1,813"
3036,2021,"1,813"
3023,2021,"1,813"
3037,2021,"1,813"
3042,2021,"1,813"
3043,2021,"1,813"
3338,2021,"1,813"
3079,2021,628
3081,2021,628
3083,2021,628
3084,2021,628
3085,2021,628
3087,2021,628
3091,2021,628
3093,2021,628
3094,2021,628
3095,2021,628
3139,2023,251
3140,2023,251
3765,2023,251
3766,2023,251
3767,2023,251
3769,2023,251
3770,2023,251
3775,2023,251
3777,2023,251
3781,2023,251
3782,2023,251
3783,2023,251
3785,2023,251
3786,2023,251
3787,2023,251
3791,2023,251
3793,2023,251
3796,2023,251
3797,2023,251
3690,2023,2698
3125,2023,774
3127,2023,774
3130,2023,774
3131,2023,774
3132,2023,774
3128,2023,774
3151,2023,774
3129,2023,774
3840,2023,203
3844,2023,203
3850,2023,203
3851,2023,203
3852,2023,203
3854,2023,203
3856,2023,203
3857,2023,203
3858,2023,203
3860,2023,203
3862,2023,203
3864,2023,203
3869,2023,203
3971,2023,203
3975,2023,203
3677,2023,256
3678,2023,256
3675,2023,256
3673,2023,256
3672,2023,256
3676,2023,256
3735,2023,256
3700,2023,21
3701,2023,21
3704,2023,21
3705,2023,21
3707,2023,21
3708,2023,21
3727,2023,21
3666,2023,54
3669,2023,54
3672,2023,54
3664,2023,54
3660,2023,54
3608,2023,54
3764,2023,54
3950,2023,112
3951,2023,112
3953,2023,112
3956,2023,112
3957,2023,112
3959,2023,112
3960,2023,112
3962,2023,112
3964,2023,112
3965,2023,112
3971,2023,112
3975,2023,112
3989,2023,112
3714,2023,55
3717,2023,55
3718,2023,55
3719,2023,55
3723,2023,55
3727,2023,55
3757,2023,55
3764,2023,55
3779,2023,55
3781,2023,55
3149,2023,1025
3166,2023,1025
3167,2023,1025
3168,2023,1025
3169,2023,1025
3170,2023,1025
3178,2023,1025
3180,2023,1025
3800,2023,1025
3629,2023,176
3636,2023,176
3641,2023,176
3644,2023,176
3728,2023,176
3732,2023,176
3646,2023,176
3639,2023,176
3643,2023,176
3658,2023,284
3659,2023,284
3764,2023,284
3658,2023,284
3660,2023,284
3764,2023,284
3714,2023,284
3717,2023,284
3719,2023,284
3134,2023,886
3135,2023,886
3136,2023,886
3137,2023,886
3138,2023,886
3153,2023,886
3722,2023,70
3723,2023,70
3724,2023,70
3725,2023,70
3105,2023,435
3106,2023,435
3107,2023,435
3108,2023,435
3109,2023,435
3111,2023,435
3113,2023,435
3825,2023,1608
3840,2023,1608
3842,2023,1608
3844,2023,1608
3847,2023,1608
3152,2023,1357
3153,2023,1357
3154,2023,1357
3155,2023,1357
3156,2023,1357
3683,2023,136
3685,2023,136
3687,2023,136
3691,2023,136
3620,2023,937
3630,2023,937
3631,2023,937
3633,2023,937
3634,2023,937
3636,2023,937
3875,2023,221
3878,2023,221
3880,2023,221
3882,2023,221
3885,2023,221
3886,2023,221
3887,2023,221
3888,2023,221
3889,2023,221
3890,2023,221
3891,2023,221
3892,2023,221
3893,2023,221
3895,2023,221
3896,2023,221
3101,2023,638
3102,2023,638
3103,2023,638
3104,2023,638
3122,2023,638
3123,2023,638
3124,2023,638
3126,2023,638
3127,2023,638
3671,2023,334
3672,2023,334
3673,2023,334
3781,2023,221
3810,2023,221
3812,2023,221
3814,2023,221
3815,2023,221
3816,2023,221
3820,2023,221
3821,2023,221
3822,2023,221
3831,2023,221
3832,2023,221
3833,2023,221
3835,2023,221
3922,2023,356
3923,2023,356
3925,2023,356
3926,2023,356
3927,2023,356
3984,2023,356
3697,2023,58
3698,2023,58
3737,2023,58
3740,2023,58
3741,2023,58
3744,2023,58
3139,2021,321
3140,2021,321
3765,2021,321
3766,2021,321
3767,2021,321
3769,2021,321
3770,2021,321
3775,2021,321
3777,2021,321
3781,2021,321
3782,2021,321
3783,2021,321
3785,2021,321
3786,2021,321
3787,2021,321
3791,2021,321
3793,2021,321
3796,2021,321
3797,2021,321
3690,2021,2416
3125,2021,868
3127,2021,868
3130,2021,868
3131,2021,868
3132,2021,868
3128,2021,868
3151,2021,868
3129,2021,868
3840,2021,215
3844,2021,215
3850,2021,215
3851,2021,215
3852,2021,215
3854,2021,215
3856,2021,215
3857,2021,215
3858,2021,215
3860,2021,215
3862,2021,215
3864,2021,215
3869,2021,215
3971,2021,215
3975,2021,215
3677,2021,237
3678,2021,237
3675,2021,237
3673,2021,237
3672,2021,237
3676,2021,237
3735,2021,237
3700,2021,22
3701,2021,22
3704,2021,22
3705,2021,22
3707,2021,22
3708,2021,22
3727,2021,22
3666,2021,65
3669,2021,65
3672,2021,65
3664,2021,65
3660,2021,65
3608,2021,65
3764,2021,65
3950,2021,97
3951,2021,97
3953,2021,97
3956,2021,97
3957,2021,97
3959,2021,97
3960,2021,97
3962,2021,97
3964,2021,97
3965,2021,97
3971,2021,97
3975,2021,97
3989,2021,97
3714,2021,66
3717,2021,66
3718,2021,66
3719,2021,66
3723,2021,66
3727,2021,66
3757,2021,66
3764,2021,66
3779,2021,66
3781,2021,66
3149,2021,1063
3166,2021,1063
3167,2021,1063
3168,2021,1063
3169,2021,1063
3170,2021,1063
3178,2021,1063
3180,2021,1063
3800,2021,1063
3629,2021,181
3636,2021,181
3641,2021,181
