Address,Cost,Property Type,Bedrooms,Bathrooms,Latitude,Longitude,Closest Gov Secondary School,Gov Secondary Distance,Age under 20,Age 20-39,Age 40-59,Age 60+,Postcode
"8/90 Hambleton Street, Middle Park VIC 3206",$410.00,Apartment,1,1,-37.8475529,144.9604773,Albert Park College,1.2 km away,36%,15%,30%,19%,3206
"3/33 Bevan Street, Albert Park VIC 3206",$550.00 per week,Apartment,1,1,-37.8399588,144.9563729,Albert Park College,0.9 km away,28%,18%,28%,26%,3206
"8/90 Hambleton Street, Middle Park VIC 3206",$410.00,Apartment,1,1,-37.8475529,144.9604773,Albert Park College,1.2 km away,36%,15%,30%,19%,3206
"7/7-9 Faussett Street, Albert Park VIC 3206",$490 Per Week I Furnished,Apartment,1,1,-37.8416697,144.9553316,Albert Park College,0.8 km away,20%,26%,29%,25%,3206
Albert Park VIC 3206,"$1,280 per week",Apartment,1,1,-37.8438609,144.9514536,Albert Park College,0.4 km away,17%,20%,36%,27%,3206
"214/363 Beaconsfield Parade, Middle Park VIC 3206",$350 pw,Apartment,1,1,-37.8540354,144.9613079,Albert Park College,1.6 km away,19%,24%,27%,29%,3206
"2/72 Withers Street, Albert Park VIC 3206",$450 per week,Apartment,1,1,-37.8463159,144.9472289,Albert Park College,0.2 km away,27%,16%,37%,20%,3206
"1/33 Bevan Street, Albert Park VIC 3206",$575.00 per week,Apartment,1,1,-37.8399588,144.9563729,Albert Park College,0.9 km away,28%,18%,28%,26%,3206
"23/75 Park Road, Middle Park VIC 3206",$430 per week,Apartment,1,1,-37.85435990000001,144.9679589,Albert Park College,2.1 km away,31%,18%,27%,24%,3206
"16/109 Nimmo Street, Middle Park VIC 3206",$775 per week,Apartment,2,1,-37.8524598,144.9606079,Albert Park College,1.5 km away,19%,24%,27%,29%,3206
"1/185-187 Victoria Avenue, Albert Park VIC 3206",$730 pw,Apartment,2,1,-37.8472617,144.9489981,Albert Park College,0.4 km away,26%,24%,33%,17%,3206
"1/262 Beaconsfield Parade, Middle Park VIC 3206",$565.00,Apartment,2,1,-37.854161,144.962306,Albert Park College,1.7 km away,19%,24%,27%,29%,3206
"1/64 Victoria Avenue, Albert Park VIC 3206",$600.00 per week,Apartment,2,1,-37.8433181,144.9515924,Albert Park College,0.4 km away,17%,20%,36%,27%,3206
"105/88 Beaconsfield Parade, Albert Park VIC 3206","$1,200 weekly",Apartment,3,2,-37.8472918,144.9481161,Albert Park College,0.3 km away,22%,19%,30%,29%,3206
Albert Park VIC 3206,$700 weekly,House,2,1,-37.8459803,144.9590174,Albert Park College,1 km away,36%,15%,30%,19%,3206
"15 Page St, Albert Park VIC 3206",$850 weekly,House,2,1,-37.845458,144.9516235,Albert Park College,0.4 km away,26%,24%,33%,17%,3206
"111 Harold Street, Middle Park VIC 3206",$795.00 per week,House,2,1,-37.8515711,144.9590886,Albert Park College,1.3 km away,19%,24%,27%,29%,3206
"12 Little O'Grady Street, Albert Park VIC 3206",$850 per week,House,2,2,-37.8428043,144.9555832,Albert Park College,0.7 km away,20%,26%,29%,25%,3206
"150 Danks Street, Albert Park VIC 3206",$850.00 per week,House,2,1,-37.8473629,144.9511262,Albert Park College,0.5 km away,25%,26%,29%,19%,3206
"64 Mills Street, Albert Park VIC 3206",$1495 per week,House,3,1,-37.8464263,144.9580085,Albert Park College,1 km away,34%,12%,32%,22%,3206
"94 Merton Street, Albert Park VIC 3206",$1390.00 per week,House,3,2,-37.8444898,144.9547857,Albert Park College,0.6 km away,30%,20%,34%,15%,3206
"164 Richardson Street, Albert Park VIC 3206",1295 per week,House,3,1,-37.8466642,144.9557745,Albert Park College,0.8 km away,34%,12%,32%,22%,3206
"14 Neville Street, Albert Park VIC 3206",$1040 per week,House,3,2,-37.8474116,144.9560136,Albert Park College,0.8 km away,31%,23%,26%,21%,3206
"358 Richardson Street, Middle Park VIC 3206",$950.00 per week,House,3,1,-37.8525701,144.9664663,Albert Park College,1.9 km away,26%,16%,30%,28%,3206
"17 Finlay Street, Albert Park VIC 3206",$880 per week,House,3,1,-37.8436252,144.9559213,Albert Park College,0.8 km away,20%,26%,29%,25%,3206
"112 Beaconsfield Parade, Albert Park VIC 3206","$2,350.00",House,3,2,-37.8480838,144.9499665,Albert Park College,0.5 km away,26%,24%,33%,17%,3206
"23 Carter Street, Albert Park VIC 3206",$970.00 per week,House,3,2,-37.8450908,144.9577957,Albert Park College,0.9 km away,30%,22%,30%,18%,3206
"112 Harold St, Middle Park VIC 3206","$1,950 per week",House,4,3,-37.8517776,144.958178,Albert Park College,1.3 km away,24%,24%,27%,26%,3206
"86 Herbert Street, Middle Park VIC 3206",$1300.00 per week,House,4,2,-37.8461147,144.960398,Albert Park College,1.2 km away,26%,22%,29%,23%,3206
"101 Beaconsfield Parade, Albert Park VIC 3206",$2800.00,House,4,2,-37.847715,144.9493643,Albert Park College,0.4 km away,26%,24%,33%,17%,3206
